Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
finances,"I stress on finances day to day, will it be enough and can I make it work?",WORK,Am I doing the best? Could someone replace me?,children,Am I raising them right? am I a good parent?,walk away,meditate/pray,bubble baths
Career,Needs more improvement,Love,Always fight,Loans,Lots of earning needed,Meditation,Going outing to hilly areas,Pray to god
 family,For me stress is caused because of fight with the family,money problem,When i am not able to purchase what i want , health ,when my health is in bad condition ,I avoid talking with people to deal stress,I dont think about the problems,I take care of my health when i feel i am stressed
Bills,Not being able to cover all of the bills,My kids,Worrying about my teenagers and hoping they make good choices,My health,Worrying about why my feet are swelling ,I make a budget and pay the most important Bill's first then I pray ,I talk with my kids frequently and check up on them when they are gone,"I take long baths, follow up with the dr and read to relax"
Money,I think we're bad at spending and we don't stick to a budget,My husband's drinking,He just drinks too much and is probably an alcoholic,My son,I just don't know if I'm doing a good job raising him,"Just try to be better with our spending, cook at home more",Talk to his mom about it and just suggest that he drink less,Just play with my son and realize that he's happy
money,Not having enough money,family,Passive aggressive interactions with my family,Donald Trump,I fucking hate him and think he is an embarassment to our country,"Talk with my wife, work on budgeting for our future.",Call them out on it and try to not think of this when I'm not around them.,Vote! 
Debts we cannot pay or are behind in.,Trying to figure out how to cover everything.,Lack of my husband's presence. ,He is gone too much and we miss and need him present more.,Work problems that are hard to fix. ,We are dealing with dishonest people and it is hard to work with people like that. ,Treat myself to coffees.,Have chats with my mom to ease the build up of it all.,Get together with girlfriends to chat and share over coffee. 
Time,The hassle to get everything done on time,Money,The need to have enough money to afford what is needed,Expectations,"The struggle to meet expectations, and sometimes not succeeding",Exercise ,Tai Chi,Television
work,I don't have much work to do and I don't talk to people,I need money,My car will die soon and I have student loans,Social life,I don't have many friends,Try and volunteer for stuff at work.,Work hard and spend less money,Force myself to meet people at volleyball
Not having enough time,I often try to balance all my tasks at work and at home and even then I can not,Major life changes,Significant changes in things that we have become accustomed,Marital or couple problems,Recent divorce,Manage my time more effectively.,accept the fact,Couple help
My husband watching Fox News all of the time,"It drives me crazy, he is so into it and It stresses me out to here it all of the time",My husbands family,It stresses me out when I go to parties as they are the type that just talk about themselves all of the time,When my adult sisters do not get along.,"One is always talking about the other, it is hard for me to deal with their fighting all of the time.",I have my own TV upstairs so I go there to watch what I want,I usually have a few alcoholic beverages then I don't care as much,I try not to get involved with my sisters complaints about one another.
money,To pay bills,the man next door,He gets drunk stands in the  yard and yells knocks on my door,bills,not able to pay them,I go to a yoga class,I use medatation,I have pills from a Doctor
Health of my animals ,I have livestock that i care for every day and i worry about them getting sick,Car issues,I worry if i have problems and get stranded somewhere without transportation ,My job ,I worry if i am doing my job well,"Keep a well stocked first aid kit, check them often",Keep my cell phone with me,Get feedback from my boss if i need to improve something 
